??_A,,,,
t,x,,x2,v
13.80 ,662.37 ,,63.52 ,9.935794718
13.84 ,665.68 ,,63.85 ,9.062173409
13.87 ,668.70 ,,64.15 ,9.362204585
13.90 ,671.82 ,,64.47 ,9.090053628
13.94 ,674.85 ,,64.77 ,9.438907468
13.97 ,678.00 ,,65.08 ,9.052109426
14.00 ,681.02 ,,65.39 ,8.723553708
14.04 ,683.93 ,,65.68 ,8.876643323
14.07 ,686.89 ,,65.97 ,8.104468412
14.10 ,689.59 ,,66.24 ,9.231874738
14.14 ,692.66 ,,66.55 ,7.773734429
14.17 ,695.26 ,,66.81 ,7.845836474
14.20 ,697.87 ,,67.07 ,8.950945883
14.24 ,700.86 ,,67.37 ,8.328529105
14.27 ,703.63 ,,67.65 ,8.851449217
14.30 ,706.58 ,,67.94 ,8.080259002
14.34 ,709.28 ,,68.21 ,8.586848193
14.37 ,712.14 ,,68.50 ,8.257260858
14.40 ,714.89 ,,68.77 ,8.877714451
14.44 ,717.85 ,,69.07 ,8.443446505
14.47 ,720.67 ,,69.35 ,8.559907723
14.50 ,723.52 ,,69.64 ,9.141981584
14.54 ,726.57 ,,69.94 ,7.878248365
14.57 ,729.20 ,,70.20 ,8.797935732
14.60 ,732.13 ,,70.50 ,8.844081756
14.64 ,735.08 ,,70.79 ,8.521087061
14.67 ,737.92 ,,71.08 ,8.780178525
14.70 ,740.85 ,,71.37 ,8.971670761
14.74 ,743.84 ,,71.67 ,8.184750811
14.77 ,746.57 ,,71.94 ,9.037390791
14.80 ,749.58 ,,72.24 ,7.663849719
14.84 ,752.13 ,,72.50 ,8.352154103
14.87 ,754.92 ,,72.78 ,8.74554849
14.90 ,757.83 ,,73.07 ,8.62022173
14.94 ,760.71 ,,73.35 ,9.001539053
14.97 ,763.71 ,,73.65 ,8.224145213
15.00 ,766.45 ,,73.93 ,8.508316913
15.04 ,769.29 ,,74.21 ,8.546746438
15.07 ,772.14 ,,74.50 ,8.385308181
15.10 ,774.93 ,,74.78 ,8.647458359
15.14 ,777.81 ,,75.07 ,8.634368657
15.17 ,780.69 ,,75.35 ,8.812404447
15.20 ,783.63 ,,75.65 ,8.037421386
15.24 ,786.31 ,,75.92 ,8.366591789
15.27 ,789.10 ,,76.19 ,9.20018687
15.30 ,792.17 ,,76.50 ,8.731819397
15.34 ,795.08 ,,76.79 ,9.419983809
15.37 ,798.22 ,,77.11 ,8.2837595
15.40 ,800.98 ,,77.38 ,8.234950373
15.44 ,803.73 ,,77.66 ,9.534053678
15.47 ,806.90 ,,77.97 ,8.574491079
15.50 ,809.76 ,,78.26 ,9.183991033
15.54 ,812.83 ,,78.57 ,9.03211253
15.57 ,815.84 ,,78.87 ,8.389323336
15.60 ,818.63 ,,79.15 ,8.146666831
15.64 ,821.35 ,,79.42 ,7.7958906
15.67 ,823.95 ,,79.68 ,9.37074811
15.70 ,827.07 ,,79.99 ,9.357930381
15.74 ,830.19 ,,80.30 ,7.84163175
15.77 ,832.81 ,,80.56 ,8.581280788
15.80 ,835.67 ,,80.85 ,8.375775
15.84 ,838.46 ,,81.13 ,7.900863231
15.87 ,841.09 ,,81.39 ,7.859080546
15.90 ,843.71 ,,81.66 ,8.084537515
15.94 ,846.41 ,,81.92 ,6.615169942
15.97 ,848.61 ,,82.15 ,6.343206244
16.00 ,850.73 ,,82.36 ,6.997193351
16.04 ,853.06 ,,82.59 ,6.572783754
16.07 ,855.25 ,,82.81 ,6.02619869
16.10 ,857.26 ,,83.01 ,4.836144481
16.14 ,858.87 ,,83.17 ,4.666237336
16.17 ,860.43 ,,83.33 ,4.349574323
16.20 ,861.88 ,,83.47 ,3.013455538
16.24 ,862.89 ,,83.57 ,3.257856185
16.27 ,863.97 ,,83.68 ,2.427572889
16.30 ,864.78 ,,83.76 ,1.755546184
16.34 ,865.37 ,,83.82 ,1.635640453
16.37 ,865.91 ,,83.88 ,0.440389397
16.40 ,866.06 ,,83.89 ,-0.136298997
16.44 ,866.01 ,,83.89 ,-0.570215866
16.47 ,865.82 ,,83.87 ,-0.642697419
